X1,X2,Date,Class,NH4,HCO3,Alkalinity,pH,Ions,Hg,Cd,Co,Cr,Cu,Fe,Mn,Ni,Pb,Zn,SO4,Cl,NO3,NO2,PO4,Mineraliz,Ca,Mg,Na,K
55.405434,37.383247,12/6/16,1,0.54,256,4.2,7.4,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017071795,30.4115,78.9597,75.5927,0.0,0.0,444,95.65989848,20.17766497,12.75666667,2.291878173
55.40232099999999,37.396398,12/6/16,1,0.57,468,7.67,7.6,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.404951282,4.9301,18.2806,0.1814,0.0,0.0,395,98.35025381,26.64467005,12.885,0.0
55.38138299999999,37.423976,12/6/16,1,0.42,223,3.65,7.2,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039350427,24.2948,64.4577,119.371,0.0,0.0,447,97.91878173,19.15736041,9.398333333,1.192893401
55.401979,37.453926,12/6/16,1,0.39,65,1.07,6.6,7.0,0.0,0.0,0.0,0.0,0.0,0.070671795,0.003133333,0.022333333,0.0,0.014405128,139.1617,159.4519,162.8372,0.0,0.0,702,95.68527919,26.72081218,64.6175,21.28172589
55.384313,37.45964,12/6/16,1,0.31,282,4.63,7.0,5.2,0.0,0.0,0.0,0.0,0.0,0.118712821,0.015915385,0.0,0.0,0.015176923,51.9525,11.1259,5.7454,0.0,0.0,312,76.54822335,16.45685279,8.54,0.0
55.53425,37.228287,12/6/16,1,1.97,364,5.96,7.2,16.3,0.0,0.0,0.0,0.0,0.0,0.12666153800000002,0.002892308,0.0,0.0,0.031312821,105.6644,269.5779,352.805,0.0,0.0,1280,260.0,40.0,66.0,3.8
55.323295,37.266232,12/7/16,2,0.39,252,4.13,6.9,7.2,0.0,0.0,0.0,0.0,0.009169231,0.30348205100000003,0.06814359,0.0,0.0,0.0,45.6369,112.0974,45.316,0.0,0.0,475,100.5329949,26.70558376,17.14166667,1.177664975
55.312409,37.342472,12/7/16,1,0.28,271,4.44,7.7,5.8,0.0,0.0,0.0,0.0,0.006025641,0.0,0.0,0.0,0.0,0.057966667,43.7551,24.3988,0.1047,0.0,0.0,328,79.69543147,21.55329949,23.325,0.0
55.349358,37.33728,12/7/16,1,0.49,476,7.81,7.7,7.5,0.0,0.0,0.0,0.0,0.013651282,0.0,0.008810255999999999,0.0,0.0,0.026017094,71.4057,65.6793,29.2864,0.0,0.0,663,96.37055838,32.14213198,60.64,69.75126904
55.314208,37.326743,12/7/16,1,0.39,122,2.0,6.7,2.8,0.0,0.0,0.0,0.0,0.006205128000000001,0.085389744,0.006389744,0.0,0.0,0.075874359,26.2649,24.9082,13.7992,0.0,0.5605,191,41.1928934,9.532994924,12.29833333,1.604060914
55.522689,37.208012,12/7/16,1,1.48,409,6.7,7.3,13.1,0.0,0.0,0.0,0.0,0.005615385,0.06525641,0.0,0.0,0.0,0.18594359,64.5683,295.3711,30.1352,0.0,0.0,891,205.0,34.02030457,56.5225,1.502538071
55.521364,37.250736,12/7/16,1,0.08,365,5.98,7.4,7.2,0.0,0.0,0.0,0.002,0.0068,0.05774359,0.0,0.0,0.0,0.33844102600000003,42.4013,37.6299,44.2139,0.0,0.0,453,99.97461929,26.73604061,17.30166667,1.961928934
55.524304,37.263528,12/7/16,1,0.31,354,5.8,7.3,5.7,0.0,0.0,0.0,0.0,0.005097436,2.149066667,0.5466,0.0,0.0,0.193564103,10.1854,26.0804,0.0721,0.0,0.0,334,84.61928934,17.37563452,13.14666667,5.329949238999999
55.51878000000001,37.318299,12/7/16,2,0.04,203,3.33,7.2,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8155,17.9385,19.4493,0.0,0.2177,252,62.76649746,16.6751269,6.26,0.0
55.434487,37.320158,12/7/16,1,0.13,285,4.67,7.5,5.9,0.0,0.0,0.0,0.002158974,0.0,0.0,0.0,0.0,0.0,0.030287179,34.3476,22.3438,48.0219,0.0,1.2462,361,71.67512690000002,28.31472081,12.10166667,2.104060914
55.41399499999999,37.297467,12/7/16,1,0.38,173,2.84,7.0,4.9,0.0,0.0,0.0,0.0,0.0,0.062261538,0.004866667,0.0,0.0,0.278628205,48.479,79.1451,0.1706,0.0,0.0,325,76.64974619,12.92893401,18.4825,2.248730964
55.51446800000001,37.340667,12/7/16,2,0.08,213,3.49,6.9,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.8917,68.1977,30.2552,0.0,0.1898,366,80.86294416,18.58883249,15.32833333,1.406091371
55.43543199999999,37.336112,12/7/16,1,0.15,381,6.24,7.1,7.8,0.0,0.0,0.0,0.0,0.0,0.070076923,0.0,0.0,0.0,0.220441026,69.2909,38.5505,61.0148,0.0,0.6705,535,98.35025381,35.36548223,28.8075,13.04314721
55.431759,37.372566,12/7/16,1,0.39,343,5.62,7.3,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034651282,49.5433,341.086,72.9445,0.0,0.2337,966,154.97461930000003,37.8680203,116.1325,21.65228426
55.61603100000001,37.319763,12/8/16,2,0.0,143,2.35,6.5,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.004897436,0.0,0.0,0.0,73.403,31.916,44.3356,0.0,0.3606,324,56.21827411,15.98984772,17.03333333,13.85025381
55.63094399999999,37.329635,12/8/16,1,0.01,359,5.88,7.0,6.2,0.0,0.0,0.0,0.0,0.0,0.32568205100000003,0.08482051300000001,0.0,0.0,0.042284615,32.6344,78.1847,1.9038,0.0,0.0813,451,87.53807107,21.79695431,47.535,1.941624365
55.621887,37.296793,12/8/16,1,0.04,149,2.44,7.0,4.9,0.0,0.0,0.0,0.0,0.007764103,0.0,0.009579487,0.0,0.0,0.076482051,55.3483,97.2319,36.0961,0.0,0.231,384,73.83248731,14.77664975,30.6225,2.04822335
55.604712,37.23246500000001,12/8/16,1,1.18,560,9.18,7.3,13.2,0.0,0.0,0.0,0.0,0.011405128,0.15314871800000002,0.026569231,0.0,0.0,0.193941026,246.1441,260.5153,14.1949,0.0,0.0582,1237,194.7208122,41.81725888,132.1125,67.52791878
55.371239,37.2227,12/8/16,1,0.06,338,5.54,7.1,7.2,0.0,0.0,0.0,0.0,0.006420513,0.0,0.0,0.0,0.0,0.117389744,81.2346,63.2409,38.8364,0.0,0.0169,529,96.24365482,29.17766497,34.51,17.21827411
55.425798,37.254464,12/8/16,1,0.0,354,5.8,7.5,6.5,0.0,0.0,0.0,0.0,0.0,0.078764103,0.014948718,0.0,0.0,0.06884359,60.8982,17.0646,31.0062,0.0,0.0,424,94.84771574,21.41116751,12.10166667,10.01522843
